Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R3,0402WGF3300TCE,R_0402_1005Metric,116.27,-114.89,180.0,top
R4,0402WGF1001TCE,R_0402_1005Metric,127.186195,-119.0,180.0,top
R5,0402WGF1001TCE,R_0402_1005Metric,116.3,-108.5,-90.0,top
R6,0402WGF1003TCE,R_0402_1005Metric,118.72,-106.71,0.0,top
R7,0402WGF1003TCE,R_0402_1005Metric,120.34,-106.2,90.0,top
R8,0402WGF2201TCE,R_0402_1005Metric,119.4,-108.5,90.0,top
R9,0402WGF2201TCE,R_0402_1005Metric,120.4,-108.5,90.0,top
SW1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,124.31,-104.4,180.0,top
TP1,?,TestPad_1.0x1.0mm_RoundRect,134.01,-114.26,0.0,bottom
TP10,?,TestPad_1.0x1.0mm_RoundRect,127.25,-113.5,0.0,bottom
TP11,?,TestPad_1.0x1.0mm_RoundRect,128.5,-116.0,0.0,bottom
TP12,?,TestPad_1.0x1.0mm_RoundRect,130.5,-116.0,0.0,bottom
TP13,?,TestPad_1.0x1.0mm_RoundRect,128.51,-118.0,0.0,bottom
TP14,?,TestPad_1.0x1.0mm_RoundRect,130.51,-118.0,0.0,bottom
TP2,?,TestPad_1.0x1.0mm_RoundRect,140.72,-117.51,0.0,bottom
TP3,?,TestPad_1.0x1.0mm_RoundRect,136.04,-114.26,0.0,bottom
TP4,?,TestPad_1.0x1.0mm_RoundRect,142.75,-117.5,0.0,bottom
TP5,?,TestPad_1.0x1.0mm_RoundRect,123.5,-118.0,0.0,bottom
TP6,?,TestPad_1.0x1.0mm_RoundRect,125.5,-118.0,0.0,bottom
TP7,?,TestPad_1.0x1.0mm_RoundRect,122.5,-116.0,0.0,bottom
TP8,?,TestPad_1.0x1.0mm_RoundRect,124.5,-116.0,0.0,bottom
TP9,?,TestPad_1.0x1.0mm_RoundRect,126.5,-116.0,0.0,bottom
U1,PCA9306DCTR,VSSOP-8_2.3x2mm_P0.5mm,119.0,-110.7,0.0,top
U2,AP2112K-3.3TRG1,SOT-23-5,136.77,-116.68,90.0,top
U3,USBLC6-2SC6,SOT-23-6,138.1,-111.51,270.0,top
U4,W25Q16JVSSIQ,SOIC-8_5.3x5.3mm_P1.27mm,135.18,-105.63,90.0,top
U5,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,127.2,-112.5625,-90.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,119.15,-114.25,-90.0,top
